node_id 	 label
0 	 male_noah
1 	 male_liam
2 	 male_william
3 	 male_benjamin
4 	 male_jacob
5 	 male_elijah
6 	 male_ethan
7 	 female_emma
8 	 female_olivia
9 	 female_ava
10 	 female_isabella
11 	 female_sophia
12 	 female_mia
13 	 female_amelia
14 	 female_charlotte
15 	 male_alexander
16 	 male_oliver
17 	 male_daniel
18 	 male_lucas
19 	 female_abigail
20 	 female_emily
21 	 male_matthew
22 	 female_harper
23 	 female_evelyn
24 	 female_madison
25 	 female_victoria
26 	 female_sofia
27 	 female_scarlett
28 	 female_aria
